x,z,yaw,pitch,roll
0,0,-138.43,0,-2.07
0,0,-138.44,0,-2.06
0,0,-138.44,0,-2.02
0,0,-138.46,0,-2.04
0,0,-138.51,0,-2.01
0,0,-138.53,0,-2.01
0,0,-138.55,0,-1.98
0,0,-138.55,0,-1.98
0,0,-138.58,0,-1.98
0,0,-138.58,0,-2
0,0,-138.55,0,-1.82
1.15,0,-138.86,0,-1.91
0.22,0,-138.85,0,-1.86
0.65,0,-138.89,0,-2.23
0.84,0,-138.91,0,-2.26
0.89,0,-138.84,0,-2.43
0.75,0,-138.9,0,-2.48
0.41,0,-139.01,0,-2.55
0.38,0,-139.19,0,-2.24
0.31,0,-139.25,0,-2.39
0.17,0,-139.45,0,-2.19
-0.11,0,-139.69,0,-2.2
-0.08,0,-140.01,0,-2.12
-0.19,0,-140.27,0,-2.14
-0.11,0,-140.63,0,-1.5
-0.13,0,-140.83,0,-1.8
-0.13,0,-141.16,0,-1.53
-0.2,0,-141.4,0,-1.46
-0.14,0,-141.78,0,-0.73
-0.24,0,-141.93,0,-1.23
-0.35,0,-142.16,0,-1.14
-0.31,0,-142.42,0,-1.05
-0.18,0,-142.66,0,-0.99
-0.06,0,-142.96,0,-0.88
0,0,-143.03,0,-1.35
-0.11,0,-143.11,0,-1.03
-0.05,0,-143.19,0,-0.88
-0.11,0,-143.26,0,-0.83
0,0,-143.36,0,-0.28
0,0,-143.42,0,-0.4
0,0,-143.45,0,-0.45
0,0,-143.42,0,-0.42
0,0,-143.43,0,-0.07
0.14,0,-143.4,0,-0.05
0.3,0,-143.35,0,-0.07
0.36,0,-143.25,0,-0.53
0.33,0,-143.13,0,-0.63
0.22,0,-143.01,0,-0.81
0,0,-142.97,0,-1.78
-0.21,0,-143.04,0,-1.44
0.15,0,-143.04,0,-1.12
0.46,0,-143.01,0,-1.22
0.61,0,-143.01,0,-0.92
0.65,0,-142.99,0,-1.5
0.66,0,-143.08,0,-1.53
0.49,0,-143.15,0,-2.07
0.58,0,-143.48,0,-1.27
0.54,0,-143.64,0,-1.66
0.47,0,-143.55,0,-2.94
0.36,0,-143.88,0,-2.89
0.4,0,-144.28,0,-2.61
-0.29,0,-144.58,0,-2.72
-0.24,0,-144.98,0,-2.58
-0.17,0,-144.81,0,-3.85
-0.85,0,-145.29,0,-4.03
0,0,-145.81,0,-4.23
-1.71,0,-146.06,0,-5.13
-1,0,-146.17,0,-5
-0.53,0,-146.07,0,-5.49
-0.49,0,-146.07,0,-6.06
-0.27,0,-146.04,0,-6.12
-0.55,0,-146.04,0,-5.8
-0.6,0,-145.95,0,-5.78
-0.69,0,-145.81,0,-5.23
-0.59,0,-145.63,0,-4.59
-0.18,0,-145.35,0,-2.64
0.1,0,-145.16,0,-3.38
0.07,0,-144.88,0,-3.45
0.22,0,-144.52,0,-2.77
0.28,0,-144.13,0,-2.23
0.26,0,-143.82,0,-2.07
0.31,0,-143.59,0,-1.17
0.24,0,-143.39,0,-0.85
0.28,0,-143.35,0,-0.05
0.46,0,-143.39,0,1.93
0.24,0,-143.31,0,1.02
0.35,0,-143.58,0,3.05
0.37,0,-143.62,0,3.1
0,0,-143.66,0,3.17
0,0,-143.82,0,2.83
-0.08,0,-144.12,0,2.91
-0.17,0,-144.12,0,1.52
-0.18,0,-144.3,0,1.7
-0.17,0,-144.38,0,1.48
-0.31,0,-144.45,0,0.66
-0.23,0,-144.52,0,0.4
0,0,-144.39,0,-0.25
-0.09,0,-144.54,0,-0.12
-0.13,0,-144.47,0,0.32
-0.14,0,-144.39,0,0.64
-0.23,0,-144.39,0,0.65
0,0,-144.35,0,0.97
0,0,-144.08,0,1.36
-0.15,0,-143.94,0,0.22
-0.09,0,-143.74,0,-0.33
0,0,-143.46,0,0.29
0.59,0,-143.15,0,0.87
0.37,0,-142.47,0,2.12
0,0,-142.35,0,1.66
-0.29,0,-142.39,0,2.49
0.17,0,-142.52,0,3.36
0.4,0,-142.58,0,4.18
-0.53,0,-142.9,0,2.09
-0.85,0,-143.35,0,1.25
-0.81,0,-143.75,0,0.95
