x,z,yaw,pitch,roll
0,0,-122.24,0,-0.75
0,0,-122.21,0,-0.75
0,0,-122.17,0,-0.74
0,0,-122.15,0,-0.74
0,0,-122.11,0,-0.71
0,0,-122.1,0,-0.73
0,0,-122.06,0,-0.73
0,0,-122.04,0,-0.72
0,0,-122.02,0,-0.72
0,0,-122.03,0,-0.74
0,0,-122.05,0,-0.74
0,0,-122.03,0,-0.76
0,0,-122.01,0,-0.76
0,0,-122.02,0,-0.75
0,0,-122.01,0,-0.77
0,0,-122.04,0,-0.76
0,0,-122.08,0,-0.76
0,0,-122.06,0,-0.77
0,0,-122.04,0,-0.79
0,0,-122.04,0,-0.8
0,0,-122.03,0,-0.82
0,0,-122.01,0,-0.83
0,0,-122.03,0,-0.79
0,0,-121.99,0,-0.78
0,0,-121.97,0,-0.8
0,0,-121.95,0,-0.81
0,0,-121.93,0,-0.82
0,0,-121.9,0,-0.81
0,0,-121.88,0,-0.8
-1.97,0,-121.72,0,-0.87
0,0,-122.14,0,-1.31
-1.53,0,-122.07,0,-1.02
-1.63,0,-122.05,0,-0.88
-1.7,0,-121.99,0,-0.99
-1.45,0,-121.87,0,-0.82
-1.34,0,-121.63,0,-0.68
-1.5,0,-121.42,0,-0.49
-0.85,0,-121.22,0,-0.42
-0.42,0,-120.8,0,-0.02
-1.36,0,-120.31,0,-0.47
0.83,0,-119.4,0,0.23
0.65,0,-118.61,0,-0.64
0.55,0,-117.77,0,-0.63
0.54,0,-116.84,0,-1.27
0.33,0,-116.32,0,-0.51
0.24,0,-115.68,0,-1.62
0,0,-115.28,0,-1.88
0,0,-115.22,0,-0.46
0.07,0,-114.88,0,-1.2
0.26,0,-114.69,0,-1.31
0.21,0,-114.64,0,-1.49
0,0,-114.46,0,-2.06
-0.23,0,-114.57,0,-1.65
-0.26,0,-114.69,0,-1.96
-0.27,0,-114.84,0,-1.51
-0.3,0,-114.88,0,-2.16
-0.37,0,-114.81,0,-2.5
-0.53,0,-114.81,0,-2.1
-0.6,0,-114.85,0,-1.93
-0.61,0,-114.77,0,-2.71
-0.31,0,-114.4,0,-2.97
-0.32,0,-113.73,0,0.58
0.12,0,-113.32,0,0.07
0.32,0,-112.26,0,0.61
0.67,0,-111.68,0,0.58
0.15,0,-112.02,0,-1.58
0.07,0,-111.37,0,-0.01
0,0,-111.17,0,-0.12
1.02,0,-109.92,0,1
-1.33,0,-109.87,0,0.32
-0.06,0,-110.22,0,-0.54
0.64,0,-110.02,0,-0.92
-0.17,0,-110.06,0,-1.87
0.4,0,-110.08,0,-3.04
0.53,0,-110.29,0,-3.76
0.37,0,-110.48,0,-2.62
-0.14,0,-110.76,0,-2.82
-0.25,0,-111.19,0,-2.65
-0.37,0,-111.87,0,-2.47
-0.62,0,-112.45,0,-2.62
-0.57,0,-113.07,0,-2.76
-0.34,0,-113.59,0,-2.92
-0.1,0,-113.98,0,-3.06
0.05,0,-114.11,0,-2.69
0.17,0,-113.98,0,-2.32
0,0,-113.75,0,-2.21
-0.09,0,-113.6,0,-2.16
-0.33,0,-113.54,0,-2.53
-0.2,0,-113.79,0,-3.83
-0.17,0,-113.86,0,-3.63
-0.18,0,-113.83,0,-2.33
-0.22,0,-113.64,0,-1.79
-0.15,0,-113.06,0,0.22
0,0,-112.46,0,0.74
-0.07,0,-111.88,0,1.07
0.09,0,-111.25,0,1.41
0,0,-110.8,0,-0.09
0.11,0,-110.18,0,-0.45
0.14,0,-109.64,0,-0.63
0.18,0,-109.17,0,-0.99
0.25,0,-108.88,0,-1.14
0.3,0,-108.74,0,-1.65
0.25,0,-108.65,0,-2.08
0.59,0,-108.62,0,-2.03
0.72,0,-108.78,0,-2.43
0.6,0,-108.91,0,-2.11
0.32,0,-109.05,0,-1.6
0.08,0,-109.55,0,0
0.06,0,-109.95,0,0.05
0.11,0,-110.54,0,-0.17
-0.12,0,-111.28,0,-0.56
-0.11,0,-112.16,0,-0.81
0,0,-113.01,0,-0.66
-0.16,0,-114.04,0,-1.86
-0.11,0,-114.95,0,-2.14
-0.3,0,-115.83,0,-2.04
-0.06,0,-116.77,0,-2.25
0.11,0,-117.69,0,-1.79
-0.12,0,-118.98,0,-0.92
-1.35,0,-120,0,-1.05
-0.39,0,-120.95,0,-0.32
-0.13,0,-121.99,0,1.63
0.16,0,-122.76,0,2.4
1.25,0,-122.83,0,3.61
0.25,0,-122.96,0,4.71
-0.46,0,-123.58,0,5.55
-0.82,0,-123.85,0,6.09
0,0,-124.12,0,6.08
0.73,0,-123.67,0,7.09
0,0,-123.53,0,7.38
-0.47,0,-123.34,0,8.68
-1.06,0,-124.06,0,5.74
-0.38,0,-124.48,0,5.31
0.18,0,-124.89,0,4.48
0.95,0,-124.99,0,4.11
1.01,0,-125.25,0,4.81
0.67,0,-125.34,0,4.79
-0.36,0,-125.67,0,4.06
-1.01,0,-125.85,0,4.74
-0.09,0,-126.29,0,4.57
0.27,0,-126.49,0,3.87
0,0,-126.8,0,2.5
-0.12,0,-127.21,0,1.3
-0.11,0,-127.36,0,0.59
0,0,-127.75,0,-0.11
-0.05,0,-128.04,0,-0.94
0,0,-128.53,0,-1.83
0,0,-128.94,0,-2.4
0.08,0,-129.45,0,-3.18
0.21,0,-129.93,0,-1.94
0.48,0,-130.11,0,-2.45
0.47,0,-130.72,0,-3.6
0.63,0,-131.04,0,-3.3
0.57,0,-131.48,0,-3.17
0.46,0,-131.93,0,-2.48
0.3,0,-132.43,0,-2.82
0.31,0,-133.08,0,-3.66
0,0,-133.57,0,-4.84
0.05,0,-134.44,0,-4.15
-0.31,0,-135.31,0,-3.54
-1.16,0,-135.89,0,-4.21
-2.11,0,-138.01,0,-4.06
-2.13,0,-141.73,0,-5.1
-2.18,0,-146.52,-10.5,-3.45
-1.89,0.99,-151.62,-16.2,-0.63
-1.91,1.05,-156.72,-24.56,3.24
-2.53,1.15,-163.69,-35.73,7.61
1.3,-2.71,-172.61,-43.03,4.75
1.31,-2.71,-179.54,-42.78,-9.06
1.35,-2.64,172.84,-39.65,-30.85
0,-2.15,165.38,-39.24,-51.61
-1.03,0,157.07,-35.63,-75.69
-2.1,1,150.52,-36.94,-97.71
-1.15,0,144.58,-33.77,-123.75
-1.2,1,139.44,-30.82,-147.36
-0.7,1.08,135.24,-24.85,-176.29
-0.98,1.01,131.84,-23.36,156.89
-0.91,0,128.25,-19.75,130.85
-0.76,1,124.85,-15.37,103.03
-0.65,0,121.16,-11.09,74.33
-0.59,1,118.22,-7.06,49.16
0.52,-1.88,113.78,-4.2,31.55
-1.67,-2.84,109.1,0,20
-0.77,-2.68,104.43,1,12
-0.43,-2.58,99.23,1,6
0,-1.5,94.8,1.5,2
0,0,89,2,2
-0.71,0,84,2.5,2
-1.56,-2.69,79,3,1
-1.55,1.19,74,3,1
2.46,1,69,3,0
2.17,0,64,2.5,0
2.46,0,62,2.5,0
1.35,0,60,2,0
0.49,0,59,1,0
0.41,0,59,1,0
-0.86,0,58.5,0.5,0
-0.81,0,58,0,0
-0.81,0,58,0,2
-0.61,0,57,0,3
-0.13,0,56,0,4
0.82,0,55,0,5
0.58,0,54,0,7
0.64,0,53,0,9
0.45,0,52,0,11
0.2,0,51,0,13
0.42,0,49,0,15
0.43,0,48,0,16
0.5,0,46.5,0,17
0.3,0,45,0,18.05
0.24,0,44,0,15.51
0.25,0,43,0,13.79
0.52,0,42,0,13.41
0.17,0,41,0,12.02
0.44,0,40,0,9.75
0.3,0,39.5,0,8.39
0,0,39,0,7.29
0.12,0,38,0,6.55
0,0,36,0,5.37
0,0,35,0,4.97
0.05,0,33.6,0,4.01
0.19,0,33,0,4.76
0.18,0,33,0,2.46
0.6,0,33,0,-0.69
0.17,0,33,0,-1.05
0.3,0,33,0,-2.03
0.2,0,33,0,-2.71
-0.23,0,33,0,-4.44
-0.14,0,32.5,0,-4.87
-0.16,0,32.5,0,-5.13
0,0,32,0,-5.56
-0.08,0,32,0,-7.5
-0.07,0,32,0,-7.39
-0.11,0,31.6,0,-7.28
0,0,31,0,-7.22
-0.11,0,30,0,-7.75
0,0,29.14,0,-8.23
0.11,0,28.66,0,-8.38
0,0,27.99,0,-8.94
0.54,0,27.35,0,-10.37
0.25,0,27.05,0,-10.62
0.25,0,26.75,0,-9.81
0.16,0,26.41,0,-9.19
0.13,0,26.29,0,-8.22
0.09,0,26.14,0,-7.89
0.15,0,26.02,0,-7.85
0.13,0,26.06,0,-6.78
0.19,0,26.11,0,-5.84
0,0,26.27,0,-5.43
0.63,0,26.63,0,-6.88
0,0,27.05,0,-7.21
0,0,27.52,0,-7.26
0.11,0,28.09,0,-6.41
0.12,0,28.75,0,-6.16
-0.32,0,29.5,0,-6.27
-0.78,0,30.32,0,-6.24
0.18,0,31.52,0,-6.87
-0.93,0,32.15,0,-4.88
-0.13,0,33.06,0,-5.22
0,0,34.09,0,-6.26
0,0,35.14,0,-6.21
0,0,36.15,0,-6.22
0,0,37.32,0,-5.7
0.14,0,38.54,0,-4.74
0,0,39.48,0,-4.28
-0.14,0,40.71,0,-4.5
-0.06,0,41.92,0,-5.33
0.09,0,43.24,0,-4.75
-0.11,0,44.35,0,-4.51
0.12,0,45.55,0,-3.34
0,0,46.66,0,-2.34
0,0,48.04,0,-1.33
-0.07,0,49.26,0,-0.66
-0.07,0,50.45,0,-0.11
0,0,51.52,0,0.95
-0.24,0,52.71,0,1.03
0,0,53.83,0,1.33
0.09,0,54.89,0,0.54
0,0,56.01,0,0.17
0,0,57.01,0,1.22
0.08,0,57.95,0,0.48
0.16,0,58.94,0,1.1
0.06,0,59.88,0,1.33
0,0,60.89,0,2.27
-0.25,0,61.85,0,1.8
0.32,0,62.84,0,0.69
0.33,0,63.77,0,0.59
0.08,0,64.71,0,-0.22
-0.28,0,65.55,0,-0.67
0.06,0,66.34,0,0.85
-0.1,0,67.23,0,-1.06
0.13,0,67.94,0,-1.13
0.06,0,68.7,0,-0.48
0,0,69.47,0,-0.33
-0.46,0,70.27,0,-0.04
-0.46,0,70.98,0,-0.15
-0.27,0,71.65,0,-1.25
0,0,72.33,0,0.09
0.25,0,72.8,0,0.78
0.21,0,73.26,0,1.45
0.06,0,73.72,0,1.37
-0.08,0,74.14,0,1.67
0,0,74.66,0,1.39
0,0,75.09,0,0.98
0,0,75.5,0,1.25
-0.05,0,75.94,0,1.2
0.08,0,76.45,0,1.06
0.13,0,76.97,0,0.88
0,0,77.55,0,1.07
0,0,78.2,0,0.68
0.18,0,79.18,0,0.12
0.13,0,80.12,0,0.04
0.13,0,81.15,0,-0.26
0.14,0,82.2,0,-0.27
