x,z,yaw,pitch,roll
-0.05,0,-129.42,0,-1.87
0,0,-129.31,0,-1.84
0,0,-129.18,0,-1.98
0,0,-129.09,0,-1.93
-0.11,0,-128.98,0,-1.98
0,0,-128.96,0,-1.21
0,0,-128.86,0,-1.14
0,0,-128.81,0,-1.32
-0.06,0,-128.75,0,-0.74
0,0,-128.69,0,-1.19
0,0,-128.63,0,-1.15
0,0,-128.57,0,-1.26
0,0,-128.49,0,-1.12
0,0,-128.42,0,-1.2
0,0,-128.37,0,-0.84
0,0,-128.33,0,-0.88
0,0,-128.32,0,-1.55
0,0,-128.28,0,-1.69
0,0,-128.23,0,-1.41
0,0,-128.18,0,-1.39
0,0,-128.18,0,-1.59
0,0,-128.15,0,-1.37
0,0,-128.12,0,-1.31
0,0,-128.13,0,-1.4
0,0,-128.14,0,-1.1
0,0,-128.15,0,-1.33
0,0,-128.15,0,-1.39
-0.06,0,-128.16,0,-1.54
-0.05,0,-128.18,0,-1.59
0,0,-128.23,0,-1.74
0,0,-128.22,0,-1.74
0,0,-128.18,0,-1.82
0,0,-128.12,0,-1.68
0,0,-128.11,0,-1.41
0,0,-128.1,0,-1.22
0,0,-128.11,0,-1.66
0,0,-128.12,0,-1.3
0,0,-128.08,0,-1.24
0,0,-128.08,0,-1.4
0,0,-128.07,0,-1.2
0,0,-128.08,0,-1.74
1.61,0,-128.07,0,-1.39
0.25,0,-127.98,0,-1.32
0.89,0,-128.36,0,-1.07
1.45,0,-128.19,0,-0.56
1.59,0,-128.14,0,-0.23
1.12,0,-128.11,0,-0.5
0.24,0,-128.05,0,-1.13
0,0,-128.12,0,-1.03
-0.47,0,-128.08,0,-1.81
-0.79,0,-128.06,0,-1.7
-0.21,0,-128.03,0,-2.12
-0.05,0,-128.04,0,-1.78
0.11,0,-127.97,0,-0.75
0.14,0,-127.88,0,-0.26
0.12,0,-128.12,0,-0.73
0.22,0,-128.16,0,-0.68
-0.15,0,-128.18,0,-0.63
0,0,-128.16,0,-0.83
0.06,0,-128.22,0,-0.87
0.18,0,-128.34,0,0.42
0,0,-128.22,0,-0.76
0.27,0,-128.13,0,-1.05
0.26,0,-128.1,0,-1.16
0.23,0,-128,0,-1.65
0.1,0,-127.79,0,-1.77
0,0,-127.73,0,-1.51
0,0,-127.82,0,-0.11
0,0,-127.82,0,0.51
-0.08,0,-128.08,0,1.39
-0.32,0,-127.92,0,0.75
-0.19,0,-128.02,0,0.99
0.12,0,-127.99,0,1.07
0,0,-127.91,0,0.66
-0.12,0,-127.87,0,0.9
-0.3,0,-127.7,0,0.71
-0.36,0,-127.67,0,0.99
0,0,-127.82,0,2.95
0.61,0,-128.01,0,3.97
-0.1,0,-128.2,0,4.08
0.15,0,-128.46,0,4.89
-0.2,0,-129.08,0,4.53
-0.52,0,-129.52,0,3.61
-0.17,0,-129.31,0,3.02
-1.71,0,-128.88,0,2.92
0.07,0,-128.05,0,2.7
-0.39,0,-127.99,0,3
-0.59,0,-128.26,0,3.08
-0.58,0,-128.4,0,3.04
-0.28,0,-128.8,0,3.04
0.08,0,-128.86,0,3.38
0.28,0,-128.7,0,2.33
0.16,0,-128.56,0,1.89
0.17,0,-128.13,0,2.83
0.58,0,-128,0,3.81
0,0,-127.31,0,2.72
-0.78,0,-127.12,0,2.8
-0.39,0,-126.92,0,2.73
0,0,-126.89,0,3.82
0.23,0,-126.68,0,1.97
0,0,-126.9,0,2.24
-0.29,0,-126.83,0,2.01
-0.73,0,-125.95,0,2.08
-0.23,0,-126.11,0,2.16
-0.08,0,-126.01,0,1.43
