x,z,yaw,pitch,roll
0,0,-133.45,0,-1.25
0,0,-133.45,0,-1.27
0,0,-133.43,0,-1.28
0,0,-133.42,0,-1.25
0,0,-133.45,0,-1.27
0,0,-133.47,0,-1.26
0,0,-133.45,0,-1.28
0,0,-133.47,0,-1.34
0,0,-133.48,0,-1.3
0,0,-133.46,0,-1.29
0,0,-133.44,0,-1.3
0,0,-133.48,0,-1.29
0,0,-133.45,0,-1.28
0,0,-133.44,0,-1.29
0,0,-133.46,0,-1.31
0,0,-133.45,0,-1.32
0,0,-133.43,0,-1.35
0,0,-133.43,0,-1.36
0,0,-133.41,0,-1.34
0,0,-133.38,0,-1.35
0,0,-133.39,0,-1.36
0.47,0,-133.38,0,-1.33
0.71,0,-133.53,0,-1.28
1.07,0,-133.49,0,-1.6
1.54,0,-133.45,0,-1.67
1.73,0,-133.48,0,-1.74
1.78,0,-133.54,0,-1.64
1.55,0,-133.54,0,-1.71
1.04,0,-133.43,0,-1.84
0.87,0,-133.34,0,-1.97
0.36,0,-133.17,0,-2.24
0.15,0,-133,0,-1.81
-0.08,0,-132.96,0,-2.92
-0.4,0,-132.88,0,-3.63
-0.08,0,-132.79,0,-2.63
0,0,-132.72,0,-1.07
-0.1,0,-132.49,0,-1.16
-0.07,0,-132.28,0,-0.63
-0.32,0,-132.04,0,-3.36
-0.53,0,-131.87,0,-4.25
-0.56,0,-131.55,0,-3.9
-0.46,0,-131.27,0,-3.66
-0.22,0,-130.76,0,-3.65
-0.63,0,-130.01,0,-2.57
-0.45,0,-129.24,0,-2.53
-0.16,0,-128.39,0,-2.32
0.56,0,-127.3,0,-2.16
0.42,0,-126.31,0,-2.19
0.28,0,-125.25,0,-1.92
0.39,0,-124.23,0,-1.49
1.08,0,-123.27,0,-1.07
1.09,0,-122.53,0,-0.98
1.03,0,-121.92,0,-0.38
0.36,0,-121.35,0,0.09
-0.07,0,-120.77,0,1.79
0.08,0,-120.56,0,2.06
-0.09,0,-120.65,0,2.01
0,0,-120.75,0,0.9
0,0,-120.9,0,0.42
-0.66,0,-120.9,0,1.8
-0.06,0,-120.13,0,1.37
0.41,0,-120.29,0,4.84
0,0,-120.49,0,6.82
0,0,-120.79,0,7.15
0.07,0,-121.16,0,7.15
-0.06,0,-121.66,0,5.49
0.27,0,-121.99,0,4.36
0.08,0,-122.34,0,2.91
-0.11,0,-122.6,0,2.01
-0.23,0,-122.85,0,1.3
-0.11,0,-123.21,0,0.98
0.06,0,-123.46,0,0.92
0.19,0,-123.65,0,0.29
0,0,-123.86,0,0.2
-0.05,0,-124.15,0,0.18
0.14,0,-124.33,0,0.55
0.1,0,-124.46,0,-0.28
0.35,0,-124.57,0,-0.04
0.44,0,-124.61,0,-0.63
0.62,0,-124.53,0,-1.46
0.85,0,-124.51,0,-1.2
0.51,0,-124.42,0,-1.88
0.1,0,-124.34,0,-1.83
-0.22,0,-124.42,0,-1.17
-0.3,0,-124.6,0,0.07
-0.36,0,-124.66,0,0.03
-0.47,0,-124.78,0,-0.04
-0.24,0,-124.85,0,0.34
-0.43,0,-124.92,0,0.99
-0.44,0,-124.82,0,1.62
-0.42,0,-124.66,0,2.7
-0.09,0,-124.48,0,3.04
0.2,0,-123.99,0,4.65
0.33,0,-123.48,0,5.09
0.62,0,-123.02,0,6.72
-0.26,0,-122.77,0,7.24
-0.15,0,-122.69,0,7.56
0.12,0,-122.76,0,8.32
0,0,-122.89,0,5.55
-0.26,0,-122.92,0,5.31
-0.44,0,-122.84,0,6.41
-0.57,0,-122.9,0,6.42
-0.65,0,-122.94,0,6.72
-0.28,0,-122.96,0,5.97
-0.1,0,-122.79,0,5.69
-0.11,0,-122.26,0,5.25
0.17,0,-121.48,0,5.65
0.57,0,-120.84,0,6.38
1.4,0,-120.43,0,5.75
0.38,0,-120.06,0,6.13
0.17,0,-120.04,0,6.38
-0.1,0,-120.14,0,6.27
0,0,-120.54,0,5.78
-0.09,0,-121.1,0,5.72
-0.08,0,-121.53,0,5.67
0.23,0,-121.94,0,5.8
-0.11,0,-122.56,0,4.01
0.07,0,-122.92,0,3.95
0,0,-123.37,0,3.47
-0.15,0,-123.78,0,2.94
0.17,0,-124.34,0,2.02
