x,z,yaw,pitch,roll
-0.45,0,-119.88,0,4.06
-0.25,0,-119.44,0,4.28
0.42,0,-118.77,0,6.36
0.18,0,-118.27,0,5.31
-0.7,0,-117.67,0,5.01
-0.2,0,-117.16,0,5.14
0.14,0,-116.68,0,4.97
0.25,0,-116.12,0,6.07
0.23,0,-115.7,0,5.63
0.13,0,-115.34,0,4.9
0.18,0,-115,0,6.56
0.2,0,-114.74,0,5.58
0.07,0,-114.37,0,5.36
0.28,0,-114.27,0,4.6
0.2,0,-114.05,0,3.82
0,0,-113.83,0,2.96
0,0,-113.78,0,2.16
-0.69,0,-113.76,0,2.22
-0.3,0,-113.81,0,2.58
0.13,0,-113.87,0,4.69
0,0,-113.96,0,3.3
-0.06,0,-114.05,0,2.63
0.17,0,-114.65,0,2.36
0,0,-115.12,0,1.31
0.16,0,-115.87,0,0.75
0.16,0,-116.63,0,-0.04
-0.27,0,-117.47,0,0.75
-0.41,0,-118.65,0,0.94
0.19,0,-119.88,0,0.62
-0.14,0,-121.06,0,0.22
-0.15,0,-122.24,0,0.68
-0.11,0,-123.5,0,-1.2
-0.22,0,-124.91,0,-3.21
-0.32,0,-126.21,0,-4.65
0,0,-127.42,0,-4.82
-0.18,0,-128.76,0,-4.54
0,0,-129.89,0,-5.22
-0.16,0,-131.07,0,-8.75
0,0,-132.29,0,-10.89
-0.15,0,-133.61,0,-11.32
0,0,-134.72,0,-10.2
0.09,0,-135.7,0,-11.3
-0.13,0,-136.97,0,-11.44
0,0,-138.18,0,-10.54
-0.13,0,-139.18,0,-13.64
0,0,-140.49,0,-13.99
-0.48,0,-141.39,0,-14.6
-0.31,0,-142.28,0,-17.16
-0.55,0,-143,0,-16.98
-0.68,0,-143.59,0,-18.28
-0.91,0,-144.21,0,-20.39
-0.92,0,-144.59,0,-20.89
-0.86,0,-144.78,0,-21.76
-0.36,0,-144.54,0,-21.92
0.08,0,-144.83,0,-22.78
0.31,0,-144.54,0,-22.2
0.08,0,-144.33,0,-23.07
0.3,0,-143.95,0,-22.84
0.86,0,-143.48,0,-21.66
1.25,0,-142.82,0,-21.92
0.99,0,-141.96,0,-22.02
0.63,0,-141.06,0,-21.92
0.28,0,-140.4,0,-22.17
0.18,0,-139.59,0,-21.09
0.34,0,-138.68,0,-18.89
-0.9,0,-137.91,0,-19.62
-0.5,0,-137.08,0,-21.56
-0.18,0,-136.06,0,-18.69
-0.15,0,-134.77,0,-16.05
0.47,0,-133.67,0,-16.06
0,0,-132.68,0,-16.64
-0.07,0,-131.1,0,-13.68
0,0,-129.45,0,-10.03
-0.16,0,-128.23,0,-7.74
0.06,0,-127.46,0,-6.03
0.14,0,-126.84,0,-4.64
0.42,0,-125.88,0,-2.35
-0.29,0,-125.23,0,-2.15
-1.61,0,-124.54,0,-2.42
0.57,0,-124.37,0,-2.24
0.15,0,-124.93,0,-3.28
0.2,0,-124.77,0,-3.12
0.15,0,-124.27,0,-2.02
0.39,0,-124.07,0,-2.49
0.34,0,-123.81,0,-2.73
0.73,0,-123.8,0,-2.78
0.36,0,-123.46,0,-2.5
0.18,0,-123.47,0,-2.74
-0.28,0,-123.2,0,-2.35
-0.32,0,-122.81,0,-1.64
-0.47,0,-122.58,0,0.58
-0.57,0,-122.45,0,1.76
-0.27,0,-122.32,0,2.96
-0.33,0,-122.43,0,2.97
0,0,-122.65,0,3.24
0.1,0,-122.69,0,1.84
0.11,0,-122.52,0,1.54
-0.09,0,-122.27,0,2.13
0,0,-122.3,0,0.19
-1.57,0,-121.95,0,4.71
-0.18,0,-121.85,0,4.63
-0.21,0,-121.87,0,4.69
0,0,-121.93,0,3.67
0.36,0,-122.07,0,3.16
0.58,0,-122.44,0,0.55
1.25,0,-121.9,0,0.64
1.16,0,-121.39,0,-0.08
0.51,0,-121.47,0,-1.52
0.39,0,-120.48,0,-2.37
-0.17,0,-120.07,0,-1.15
-1.98,0,-120.62,0,-1.02
-2,0,-122.57,0,0.07
-2.08,0,-124.97,-4,0.07
-1.71,0,-124,-12,1.52
-0.94,1.04,-124.77,-23.32,3.4
-0.89,0,-124.37,-33.43,1.62
-0.26,-1.41,-125.49,-34.19,6.31
1.04,-2.77,-125,-37.82,-1.69
1.33,-2.67,-125,-40.69,-24.32
